gleam_crop,item_code,item,gleam_country,mt_co2/ha,source,note,country_code,country,gleam_region,hg/ha,processed_item_code,processed_item,fbs_item_code,fbs_item,product_fraction,value_fraction,kg/ha,kg_co2/ha,kg_co2/kg,footprint_type,footprint
Soy,236,Soybeans,Peru,17.1,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,170,Peru,Latin America and the Caribbean,18065.333333333332,236,Soybeans,2555,Soyabeans,1.0,1.0,1806.5333333333333,17100.0,9.465643220901912,kg_co2_luc_human_palm_soy,9.465643220901912
Soy,236,Soybeans,Peru,17.1,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,170,Peru,Latin America and the Caribbean,18065.333333333332,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1806.5333333333333,17100.0,17.87954830614806,kg_co2_luc_human_palm_soy,17.87954830614806
Soy,236,Soybeans,Republic of Moldova,2.15,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,146,Republic of Moldova,Eastern Europe,12916.333333333334,236,Soybeans,2555,Soyabeans,1.0,1.0,1291.6333333333334,2150.0,1.664559085395752,kg_co2_luc_human_palm_soy,1.664559085395752
Soy,236,Soybeans,Republic of Moldova,2.15,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,146,Republic of Moldova,Eastern Europe,12916.333333333334,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1291.6333333333334,2150.0,3.1441671613030873,kg_co2_luc_human_palm_soy,3.1441671613030873
Soy,236,Soybeans,Russian Federation,0.07,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,185,Russian Federation,Russian Federation,13521.666666666666,236,Soybeans,2555,Soyabeans,1.0,1.0,1352.1666666666665,70.0,0.051768766177739435,kg_co2_luc_human_palm_soy,0.051768766177739435
Soy,236,Soybeans,Russian Federation,0.07,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,185,Russian Federation,Russian Federation,13521.666666666666,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1352.1666666666665,70.0,0.09778544722461895,kg_co2_luc_human_palm_soy,0.09778544722461895
Soy,236,Soybeans,Rwanda,2.56,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,184,Rwanda,Sub-Saharan Africa,6805.666666666667,236,Soybeans,2555,Soyabeans,1.0,1.0,680.5666666666667,2560.0,3.7615712396532297,kg_co2_luc_human_palm_soy,3.7615712396532297
Soy,236,Soybeans,Rwanda,2.56,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,184,Rwanda,Sub-Saharan Africa,6805.666666666667,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,680.5666666666667,2560.0,7.10519011934499,kg_co2_luc_human_palm_soy,7.10519011934499
Soy,236,Soybeans,Slovakia,0.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,199,Slovakia,Eastern Europe,17148.333333333332,236,Soybeans,2555,Soyabeans,1.0,1.0,1714.8333333333333,800.0,0.46651764019827,kg_co2_luc_human_palm_soy,0.46651764019827
Soy,236,Soybeans,Slovakia,0.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,199,Slovakia,Eastern Europe,17148.333333333332,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1714.8333333333333,800.0,0.8811999870411769,kg_co2_luc_human_palm_soy,0.8811999870411769
