country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,footprint,source
10,Australia,Oceania,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019332007923225745,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2731,Bovine Meat,mg_abx_streptomycin,0.004032432699793568,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,1.8216814816298746e-07,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0008811699751538332,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2733,Pigmeat,mg_abx_oxytetracycline,2.2143278157068643e-07,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2733,Pigmeat,mg_abx_streptomycin,0.0010710978873228179,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2733,Pigmeat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2734,Poultry Meat,mg_abx_oxytetracycline,1.096168828299726e-06,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2734,Poultry Meat,mg_abx_streptomycin,0.005302304870185465,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
10,Australia,Oceania,2734,Poultry Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2731,Bovine Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2731,Bovine Meat,mg_abx_streptomycin,0.006341105292509941,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0009605203710144462,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2733,Pigmeat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2733,Pigmeat,mg_abx_streptomycin,0.0007057515998535617,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2733,Pigmeat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2734,Poultry Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2734,Poultry Meat,mg_abx_streptomycin,0.007838201736333424,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
11,Austria,Western Europe,2734,Poultry Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
12,Bahamas,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
12,Bahamas,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019323671497584538,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
12,Bahamas,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_streptomycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
12,Bahamas,Latin America and the Caribbean,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
12,Bahamas,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
12,Bahamas,Latin America and the Caribbean,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
