country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw
UKR,,mg_abx_tetracyclines,24.22504277,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,48.45008554
ARE,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
GBR,,mg_abx_tetracyclines,8.720729896,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,17.441459792
TZA,,mg_abx_tetracyclines,13.7486882,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.4973764
USA,,mg_abx_tetracyclines,26.78986575,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,53.5797315
VIR,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
URY,,mg_abx_tetracyclines,22.95408006,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,45.90816012
UZB,,mg_abx_tetracyclines,20.20881628,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,40.41763256
VUT,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
VEN,,mg_abx_tetracyclines,23.72668446,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,47.45336892
VNM,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
WLF,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
ESH,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
YEM,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
ZMB,,mg_abx_tetracyclines,13.86933819,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.73867638
ZWE,,mg_abx_tetracyclines,14.73169933,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.46339866
SSD,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
AFG,,mg_abx_tetracyclines,34.73587378,Mulchandani et al. 2023.,2732,Mutton & Goat Meat,0.53,65.53938449056604
ALB,,mg_abx_tetracyclines,24.8000275,Mulchandani et al. 2023.,2732,Mutton & Goat Meat,0.53,46.79250471698113
DZA,,mg_abx_tetracyclines,15.24834767,Mulchandani et al. 2023.,2732,Mutton & Goat Meat,0.53,28.77046730188679
AND,,mg_abx_tetracyclines,24.8000275,Mulchandani et al. 2023.,2732,Mutton & Goat Meat,0.53,46.79250471698113
AGO,,mg_abx_tetracyclines,15.24834767,Mulchandani et al. 2023.,2732,Mutton & Goat Meat,0.53,28.77046730188679
