country_iso_code,fbs_item,system,proportion_est,proportion_obs,proportion
EMU,Pigmeat,extensive,0.00682992351425504,,0.00682992351425504
ESP,Pigmeat,extensive,0.011574881586034588,0.005,0.005
EST,Pigmeat,extensive,0.010953181780152688,0.009000000000000001,0.009000000000000001
ETH,Pigmeat,extensive,0.8465315350934101,,0.8465315350934101
EUU,Pigmeat,extensive,0.007755466789970005,,0.007755466789970005
FCS,Pigmeat,extensive,0.714438906330281,,0.714438906330281
FIN,Pigmeat,extensive,0.0059633032826375155,0.0,0.0
FJI,Pigmeat,extensive,0.26142345769966147,,0.26142345769966147
FRA,Pigmeat,extensive,0.007372395261454081,0.002,0.002
FSM,Pigmeat,extensive,0.7930911823066459,,0.7930911823066459
GAB,Pigmeat,extensive,0.1443384342099603,,0.1443384342099603
GBR,Pigmeat,extensive,0.0073786341814507566,0.004,0.004
GEO,Pigmeat,extensive,0.11122539924961071,,0.11122539924961071
GHA,Pigmeat,extensive,0.6192416717011452,0.6,0.6
GIN,Pigmeat,extensive,0.8319795903454799,0.88,0.88
GMB,Pigmeat,extensive,0.8557736075046024,0.9,0.9
GNB,Pigmeat,extensive,0.8636146134968244,,0.8636146134968244
GNQ,Pigmeat,extensive,0.12667363267722895,,0.12667363267722895
GRC,Pigmeat,extensive,0.022205621823603694,0.038,0.038
GRD,Pigmeat,extensive,0.14729671819440024,,0.14729671819440024
GTM,Pigmeat,extensive,0.3397014183153804,0.48,0.48
GUY,Pigmeat,extensive,0.04769554893499363,,0.04769554893499363
HIC,Pigmeat,extensive,0.005542092393309348,,0.005542092393309348
HKG,Pigmeat,extensive,0.0034443992329158224,,0.0034443992329158224
HND,Pigmeat,extensive,0.6067927691212236,0.26,0.26
HPC,Pigmeat,extensive,0.8377788916888385,,0.8377788916888385
HRV,Pigmeat,extensive,0.01859208533411621,0.245,0.245
HTI,Pigmeat,extensive,0.8199723781437948,,0.8199723781437948
HUN,Pigmeat,extensive,0.015894880870294267,0.13699999999999998,0.13699999999999998
IBD,Pigmeat,extensive,0.1437879803443236,,0.1437879803443236
IBT,Pigmeat,extensive,0.22642482425138905,,0.22642482425138905
