country_code,country,diet,type,output_group,origin,kg/cap/yr_by_coo,loss_adj_kcal/cap/day_by_coo
10,Australia,baseline,t_animal,Sheep and goat meat,imported,0.03032033426183777,0.16396284274019857
11,Austria,baseline,a_animal,Aquatic animals,imported,13.9925,24.118439999999996
11,Austria,baseline,plant,Fruits,domestic,6.158182934425474,7.919512106431843
11,Austria,baseline,plant,Fruits,imported,92.22403341267871,97.23925595362395
11,Austria,baseline,plant,Grains,domestic,38.0617618315161,190.54168493448438
11,Austria,baseline,plant,Grains,imported,96.39433882361055,502.78440217524764
11,Austria,baseline,plant,Nuts and seeds,imported,7.5735732640555735,64.39796550587029
11,Austria,baseline,plant,Pulses and soy,domestic,1.9139225156500164,15.332907720432248
11,Austria,baseline,plant,Pulses and soy,imported,2.0249857948574244,15.621078947674421
11,Austria,baseline,plant,Starchy roots,domestic,42.51438328461368,55.78109473857869
11,Austria,baseline,plant,Starchy roots,imported,24.23541961262745,31.957245783995507
11,Austria,baseline,plant,Sugars,domestic,47.73101852747555,341.715014114051
11,Austria,baseline,plant,Sugars,imported,15.281980159447336,148.15149239046252
11,Austria,baseline,plant,Vegetable oils,domestic,4.034280658025922,97.673963110668
11,Austria,baseline,plant,Vegetable oils,imported,11.706507258840766,381.0547946901396
11,Austria,baseline,plant,Vegetables,domestic,38.63593720838746,24.983967191237443
11,Austria,baseline,plant,Vegetables,imported,66.87761932452419,41.40605548843771
11,Austria,baseline,t_animal,Bovine meat,domestic,9.261091549295775,24.27474131221583
11,Austria,baseline,t_animal,Bovine meat,imported,6.776408450704226,17.762005838206708
11,Austria,baseline,t_animal,Dairy,domestic,131.86509168140407,287.2526082747062
11,Austria,baseline,t_animal,Dairy,imported,69.77971679288505,139.84317049755623
11,Austria,baseline,t_animal,Eggs,domestic,11.736592448295227,41.24228195952243
11,Austria,baseline,t_animal,Eggs,imported,3.76662734387149,13.235895140497892
11,Austria,baseline,t_animal,Offals,imported,3.9588586112444575,12.649143810895676
11,Austria,baseline,t_animal,Pig meat,domestic,25.448161290322584,99.87930876944681
11,Austria,baseline,t_animal,Pig meat,imported,22.869338709677418,89.75790888301064
11,Austria,baseline,t_animal,Poultry,domestic,6.9412379310344825,20.103741670206702
11,Austria,baseline,t_animal,Poultry,imported,11.226262068965518,32.51435475903467
11,Austria,baseline,t_animal,Sheep and goat meat,domestic,0.7944999999999998,3.9577435631999993
11,Austria,baseline,t_animal,Sheep and goat meat,imported,0.3404999999999999,1.6961758127999997
12,Bahamas,baseline,a_animal,Aquatic animals,domestic,9.022882569396986,9.267916115479123
12,Bahamas,baseline,a_animal,Aquatic animals,imported,16.147117430603014,28.831500020092673
12,Bahamas,baseline,plant,Fruits,domestic,111.3330852997949,81.79673352597759
12,Bahamas,baseline,plant,Fruits,imported,41.13700427675232,46.31064605002143
12,Bahamas,baseline,plant,Grains,domestic,3.048598673300168,23.117153316966235
12,Bahamas,baseline,plant,Grains,imported,69.81140132669984,567.6997594147352
12,Bahamas,baseline,plant,Nuts and seeds,domestic,6.4075,21.21225876
12,Bahamas,baseline,plant,Nuts and seeds,imported,1.5174999999999998,19.88028
12,Bahamas,baseline,plant,Pulses and soy,domestic,0.4574999999999999,3.85677432
12,Bahamas,baseline,plant,Pulses and soy,imported,0.2,1.7671360000000003
12,Bahamas,baseline,plant,Starchy roots,domestic,4.46,8.644447552
12,Bahamas,baseline,plant,Starchy roots,imported,7.2825,13.2596672
12,Bahamas,baseline,plant,Sugars,domestic,14.944938974137592,17.14493259593043
12,Bahamas,baseline,plant,Sugars,imported,58.03265060240964,344.62048192771084
12,Bahamas,baseline,plant,Vegetable oils,imported,11.765000000000002,236.0
12,Bahamas,baseline,plant,Vegetables,domestic,76.03081044607111,37.87948653118845
12,Bahamas,baseline,plant,Vegetables,imported,31.019279130476125,15.912614114420949
12,Bahamas,baseline,t_animal,Bovine meat,imported,6.775,29.4801625
12,Bahamas,baseline,t_animal,Dairy,domestic,5.865340909090911,28.66797401652893
12,Bahamas,baseline,t_animal,Dairy,imported,22.367159090909094,134.04000765619836
12,Bahamas,baseline,t_animal,Eggs,domestic,2.2350000000000003,7.718016
12,Bahamas,baseline,t_animal,Eggs,imported,4.47,15.436031999999997
12,Bahamas,baseline,t_animal,Offals,imported,2.885,7.423062499999999
12,Bahamas,baseline,t_animal,Pig meat,domestic,0.617500000000001,3.979321599114393
12,Bahamas,baseline,t_animal,Pig meat,imported,25.934999999999995,167.13150716280418
12,Bahamas,baseline,t_animal,Poultry,imported,53.01999999999999,191.51501249999998
12,Bahamas,baseline,t_animal,Sheep and goat meat,imported,2.105,9.331850000000001
14,Barbados,baseline,a_animal,Aquatic animals,domestic,4.065933512022135,8.26915168350242
14,Barbados,baseline,a_animal,Aquatic animals,imported,38.591566487977865,68.25578597451886
14,Barbados,baseline,plant,Fruits,domestic,8.092500000000001,9.555975
14,Barbados,baseline,plant,Fruits,imported,60.185,73.556505
14,Barbados,baseline,plant,Grains,domestic,0.9732246376811589,7.387581683841206
14,Barbados,baseline,plant,Grains,imported,104.29477710751954,736.6841828613738
14,Barbados,baseline,plant,Nuts and seeds,domestic,7.705,26.783155
14,Barbados,baseline,plant,Nuts and seeds,imported,3.245,42.632156
14,Barbados,baseline,plant,Pulses and soy,domestic,4.700260869565217,37.71644013029565
14,Barbados,baseline,plant,Pulses and soy,imported,2.0972391304347826,15.23561723770435
14,Barbados,baseline,plant,Starchy roots,domestic,5.975,10.667616128
14,Barbados,baseline,plant,Starchy roots,imported,39.305,64.80127680000001
14,Barbados,baseline,plant,Sugars,domestic,38.78157504363001,195.96930417764287
14,Barbados,baseline,plant,Sugars,imported,42.40583333333333,370.58333333333326
14,Barbados,baseline,plant,Vegetable oils,domestic,4.6225,111.75
14,Barbados,baseline,plant,Vegetable oils,imported,5.984999999999999,142.5
14,Barbados,baseline,plant,Vegetables,domestic,34.74713775132085,21.736512855257757
14,Barbados,baseline,plant,Vegetables,imported,36.425763644839705,25.18573456808765
14,Barbados,baseline,t_animal,Bovine meat,imported,11.88,43.26585
14,Barbados,baseline,t_animal,Dairy,domestic,10.398461538461538,63.747443412071014
14,Barbados,baseline,t_animal,Dairy,imported,14.721538461538461,103.91220616331364
14,Barbados,baseline,t_animal,Eggs,domestic,7.561944444444444,24.605952
14,Barbados,baseline,t_animal,Eggs,imported,2.160555555555556,7.030272
14,Barbados,baseline,t_animal,Offals,domestic,0.5275,1.3747776859374998
14,Barbados,baseline,t_animal,Offals,imported,1.5825,4.1243330578125
14,Barbados,baseline,t_animal,Pig meat,domestic,3.661071428571429,18.636024745408164
14,Barbados,baseline,t_animal,Pig meat,imported,4.881428571428572,24.848032993877553
14,Barbados,baseline,t_animal,Poultry,domestic,41.69057142857143,148.8149946367347
14,Barbados,baseline,t_animal,Poultry,imported,5.3794285714285675,19.20193479183672
14,Barbados,baseline,t_animal,Sheep and goat meat,imported,3.8675,18.8757875
16,Bangladesh,baseline,a_animal,Aquatic animals,domestic,24.44008853016694,33.95185888838085
16,Bangladesh,baseline,a_animal,Aquatic animals,imported,0.984911469833063,1.3825098873028299
16,Bangladesh,baseline,plant,Fruits,domestic,28.032738829469572,26.574189310769192
16,Bangladesh,baseline,plant,Fruits,imported,2.7061935938077246,3.026881312832108
16,Bangladesh,baseline,plant,Grains,domestic,273.60494849173205,1619.6051572954232
16,Bangladesh,baseline,plant,Grains,imported,23.118211545490485,164.22211641538433
16,Bangladesh,baseline,plant,Nuts and seeds,domestic,2.4662696289105277,10.857795349380817
16,Bangladesh,baseline,plant,Nuts and seeds,imported,0.5148007122436804,1.980934351496883
16,Bangladesh,baseline,plant,Pulses and soy,domestic,1.5188652195842816,12.10450643420536
16,Bangladesh,baseline,plant,Pulses and soy,imported,5.882492252557258,48.385331520523735
16,Bangladesh,baseline,plant,Starchy roots,domestic,57.29004182823148,76.91147503857299
16,Bangladesh,baseline,plant,Starchy roots,imported,0.3018278619185725,0.32611511419400124
16,Bangladesh,baseline,plant,Sugars,domestic,5.966757299526025,20.884822348799965
16,Bangladesh,baseline,plant,Sugars,imported,6.141360550914338,57.54499612122257
16,Bangladesh,baseline,plant,Vegetable oils,domestic,1.5108142642922935,35.878689302457715
16,Bangladesh,baseline,plant,Vegetable oils,imported,5.574185735707707,135.1213106975423
16,Bangladesh,baseline,plant,Vegetables,domestic,37.3536159069173,25.30448010417348
16,Bangladesh,baseline,plant,Vegetables,imported,2.231851340409773,1.6505894865546376
16,Bangladesh,baseline,t_animal,Bovine meat,domestic,1.2329192546583851,5.004568917002152
