country_code,country,diet,fbs_item_code,fbs_item,output_group,type,kg/cap/yr_by_coo,%_from_coo
2,Afghanistan,baseline,2616,Plantains,Fruits,plant,0.0325,1.0
2,Afghanistan,baseline,2617,Apples and products,Fruits,plant,5.109883401523558,1.0
2,Afghanistan,baseline,2618,Pineapples and products,Fruits,plant,0.025,1.0
2,Afghanistan,baseline,2619,Dates,Fruits,plant,0.48500000000000004,1.0
2,Afghanistan,baseline,2620,Grapes and products (excl wine),Fruits,plant,18.48495767327238,1.0
2,Afghanistan,baseline,2625,"Fruits, Other",Fruits,plant,7.133768048851884,1.0
2,Afghanistan,baseline,2731,Bovine Meat,Bovine meat,t_animal,2.8125000000000004,1.0
2,Afghanistan,baseline,2732,Mutton & Goat Meat,Sheep and goat meat,t_animal,4.225,1.0
2,Afghanistan,baseline,2733,Pigmeat,Pig meat,t_animal,0.0075,1.0
2,Afghanistan,baseline,2734,Poultry Meat,Poultry,t_animal,1.73,1.0
2,Afghanistan,baseline,2736,"Offals, Edible",Offals,t_animal,1.4496151450375443,1.0
2,Afghanistan,baseline,2740,"Butter, Ghee",Dairy,t_animal,1.0375,1.0
2,Afghanistan,baseline,2743,Cream,Dairy,t_animal,0.09,1.0
2,Afghanistan,baseline,2744,Eggs,Eggs,t_animal,1.6072688793883985,1.0
2,Afghanistan,baseline,2745,Honey,Sugars,plant,0.0425,1.0
2,Afghanistan,baseline,2761,Freshwater Fish,Aquatic animals,a_animal,0.24,1.0
2,Afghanistan,baseline,2805,Rice (Milled Equivalent),Grains,plant,18.192575309919462,1.0
2,Afghanistan,baseline,2848,Milk - Excluding Butter,Dairy,t_animal,39.99988028701164,1.0
2,Afghanistan,eat_lancet,2511,Wheat and products,Grains,plant,100.47630566177249,0.9999999999999999
2,Afghanistan,eat_lancet,2513,Barley and products,Grains,plant,0.6143392986033726,1.0
2,Afghanistan,eat_lancet,2514,Maize and products,Grains,plant,1.374318383848664,1.0
2,Afghanistan,eat_lancet,2516,Oats,Grains,plant,0.0225450872197107,0.9999999999999999
2,Afghanistan,eat_lancet,2517,Millet and products,Grains,plant,0.08154566416857399,0.9999999999999999
2,Afghanistan,eat_lancet,2531,Potatoes and products,Starchy roots,plant,23.77078163521657,1.0
2,Afghanistan,eat_lancet,2532,Cassava and products,Starchy roots,plant,0.0210282907211065,1.0
2,Afghanistan,eat_lancet,2533,Sweet potatoes,Starchy roots,plant,0.0183997543809682,1.0
2,Afghanistan,eat_lancet,2542,Sugar (Raw Equivalent),Sugars,plant,10.7231097359736,1.0
2,Afghanistan,eat_lancet,2543,"Sweeteners, Other",Sugars,plant,0.5601485148514851,1.0
2,Afghanistan,eat_lancet,2546,Beans,Pulses and soy,plant,0.1953082013298702,1.0
2,Afghanistan,eat_lancet,2547,Peas,Pulses and soy,plant,5.580234323710578,1.0
2,Afghanistan,eat_lancet,2549,"Pulses, Other and products",Pulses and soy,plant,25.7592183533023,1.0
2,Afghanistan,eat_lancet,2551,Nuts and products,Nuts and seeds,plant,9.799226181460387,1.0
2,Afghanistan,eat_lancet,2555,Soyabeans,Pulses and soy,plant,0.16740702971131732,1.0
2,Afghanistan,eat_lancet,2556,Groundnuts (Shelled Eq),Nuts and seeds,plant,8.009483120497979,1.0
2,Afghanistan,eat_lancet,2561,Sesame seed,Nuts and seeds,plant,3.6735791265180007,1.0
2,Afghanistan,eat_lancet,2571,Soyabean Oil,Vegetable oils,plant,2.5208633093525177,1.0
2,Afghanistan,eat_lancet,2573,Sunflowerseed Oil,Vegetable oils,plant,11.448920863309352,1.0
2,Afghanistan,eat_lancet,2574,Rape and Mustard Oil,Vegetable oils,plant,0.4621582733812941,1.0
2,Afghanistan,eat_lancet,2577,Palm Oil,Vegetable oils,plant,4.3069999999999995,0.9999999999999998
2,Afghanistan,eat_lancet,2580,Olive Oil,Vegetable oils,plant,0.1680575539568345,1.0
