fbs_item_code,fbs_item,bootstrap_subgroup,fbs_group,footprint_type,output_group,footprint,weight,distribution_group_level
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.14168,0.0024630541871921157,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.146,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.152,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.157,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.159,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.16,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.169,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.178,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.18,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.1821,0.008620689655172405,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.18996000000000002,0.0034482758620689624,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.19807,0.0024630541871921157,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.202,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.203,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.20500000000000002,0.008620689655172405,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.20980000000000001,0.008620689655172405,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.215,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.219,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.22696000000000002,0.0024630541871921157,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.233,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.23880597014925373,0.008620689655172405,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.251,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.253,0.01724137931034481,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.259,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.26616,0.0024630541871921157,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.269,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.26937,0.01724137931034481,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.272,0.005747126436781603,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.279,0.0006385696040868449,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.2835820895522388,0.008620689655172405,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.29,0.0014367816091954008,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.297,0.0006385696040868449,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.298,0.0006385696040868449,fbs_group
2517,Millet and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.303,0.008620689655172405,fbs_group
