item_index,item,footprint,footprint_type,edible_fraction,median,n
Turkey,"Sheep
& goat

N=176",21.080618664481516,kg_co2e,0.71,35.46472316692549,176
Turkmenistan,"Sheep
& goat

N=176",73.92439277400764,kg_co2e,0.71,35.46472316692549,176
Canada,"Sheep
& goat

N=176",42.540220190342886,kg_co2e,0.71,35.46472316692549,176
Bhutan,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Zimbabwe,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Bermuda,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Uganda,"Sheep
& goat

N=176",58.61276753043201,kg_co2e,0.71,35.46472316692549,176
Cameroon,"Sheep
& goat

N=176",37.33907554190002,kg_co2e,0.71,35.46472316692549,176
Benin,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Cambodia,"Sheep
& goat

N=176",45.70827939544102,kg_co2e,0.71,35.46472316692549,176
Ukraine,"Sheep
& goat

N=176",13.420358989772017,kg_co2e,0.71,35.46472316692549,176
Belize,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Bolivia (Plurinational State of),"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Afghanistan,"Sheep
& goat

N=176",12.73638639248452,kg_co2e,0.71,35.46472316692549,176
Togo,"Sheep
& goat

N=176",46.64190949889942,kg_co2e,0.71,35.46472316692549,176
Viet Nam,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Central African Republic,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Sweden,"Sheep
& goat

N=176",28.35105588604032,kg_co2e,0.71,35.46472316692549,176
Colombia,"Sheep
& goat

N=176",52.12489407782653,kg_co2e,0.71,35.46472316692549,176
Canada,"Sheep
& goat

N=226",278.85043757618416,abx,0.71,484.2695171751262,226
"China, mainland","Sheep
& goat

N=176",35.47445213629879,kg_co2e,0.71,35.46472316692549,176
Switzerland,"Sheep
& goat

N=176",34.80898715750447,kg_co2e,0.71,35.46472316692549,176
Cameroon,"Sheep
& goat

N=226",246.35695868987509,abx,0.71,484.2695171751262,226
Uruguay,"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
"China, Taiwan Province of","Sheep
& goat

N=176",35.47445213629879,kg_co2e,0.71,35.46472316692549,176
Cambodia,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Syrian Arab Republic,"Sheep
& goat

N=176",14.846541950008135,kg_co2e,0.71,35.46472316692549,176
Brunei Darussalam,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Uzbekistan,"Sheep
& goat

N=226",484.2695171751262,abx,0.71,484.2695171751262,226
Tajikistan,"Sheep
& goat

N=176",77.87771799546633,kg_co2e,0.71,35.46472316692549,176
"China, Hong Kong SAR","Sheep
& goat

N=176",27.385450172736938,kg_co2e,0.71,35.46472316692549,176
Burundi,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Thailand,"Sheep
& goat

N=176",57.199020728132396,kg_co2e,0.71,35.46472316692549,176
Vanuatu,"Sheep
& goat

N=226",959.956979444592,abx,0.71,484.2695171751262,226
Burkina Faso,"Sheep
& goat

N=226",137.8517380334839,abx,0.71,484.2695171751262,226
Chile,"Sheep
& goat

N=176",41.23986714394256,kg_co2e,0.71,35.46472316692549,176
Denmark,"Sheep
& goat

N=176",23.225770307060476,kg_co2e,0.71,35.46472316692549,176
Timor-Leste,"Sheep
& goat

N=176",28.901717381150256,kg_co2e,0.71,35.46472316692549,176
Venezuela (Bolivarian Republic of),"Sheep
& goat

N=226",1094.9164067605634,abx,0.71,484.2695171751262,226
Bulgaria,"Sheep
& goat

N=226",408.4196756417752,abx,0.71,484.2695171751262,226
