country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
10,Australia,domestic,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,Oceania,High income,yes,0.0029344436246245345,24737250.0,7.259006555324326e-05
10,Australia,domestic,baseline,plant,Fruits,2613,Grapefruit and products,mg_abx_total,Oceania,High income,yes,0.000620739571494717,24737250.0,1.535538996495769e-05
10,Australia,domestic,baseline,plant,Fruits,2614,"Citrus, Other",mg_abx_total,Oceania,High income,yes,8.53823600316844e-05,24737250.0,2.1121247856937857e-06
10,Australia,domestic,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Oceania,High income,yes,0.032253439272581404,24737250.0,0.0007978613906456641
10,Australia,domestic,baseline,plant,Fruits,2618,Pineapples and products,mg_abx_total,Oceania,High income,yes,3.0486292099309e-06,24737250.0,7.541470292336407e-08
10,Australia,domestic,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Oceania,High income,yes,0.027939176102231185,24737250.0,0.0006911383840349183
10,Australia,domestic,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Oceania,High income,yes,1.29286120429831e-05,24737250.0,3.198183082602853e-07
10,Australia,domestic,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Oceania,High income,yes,0.0,24737250.0,0.0
10,Australia,domestic,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Oceania,High income,yes,6.1566376311849e-06,24737250.0,1.5229828424202892e-07
10,Australia,domestic,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Oceania,High income,yes,0.0,24737250.0,0.0
10,Australia,domestic,baseline,plant,Grains,2515,Rye and products,mg_abx_total,Oceania,High income,yes,2.532323438211e-07,24737250.0,6.264271797189692e-09
10,Australia,domestic,baseline,plant,Grains,2516,Oats,mg_abx_total,Oceania,High income,yes,7.9191320519773e-06,24737250.0,1.9589754935277731e-07
10,Australia,domestic,baseline,plant,Grains,2518,Sorghum and products,mg_abx_total,Oceania,High income,yes,9.395744885888501e-06,24737250.0,2.3242489017844672e-07
10,Australia,domestic,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,Oceania,High income,yes,0.004084298871208713,24737250.0,0.00010103432225180773
10,Australia,domestic,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Oceania,High income,yes,0.010215572405774396,24737250.0,0.0002527051684947426
10,Australia,domestic,baseline,plant,Nuts and seeds,2556,Groundnuts (Shelled Eq),mg_abx_total,Oceania,High income,yes,1.1585117314440002e-06,24737250.0,2.8658394328663505e-08
10,Australia,domestic,baseline,plant,Nuts and seeds,2557,Sunflower seed,mg_abx_total,Oceania,High income,yes,1.9452445665319998e-07,24737250.0,4.81200011534527e-09
10,Australia,domestic,baseline,plant,Pulses and soy,2547,Peas,mg_abx_total,Oceania,High income,yes,7.34334934975e-07,24737250.0,1.8165426870210334e-08
10,Australia,domestic,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,Oceania,High income,yes,3.2454054531917997e-06,24737250.0,8.028240604696904e-08
10,Australia,domestic,baseline,plant,Pulses and soy,2555,Soyabeans,mg_abx_total,Oceania,High income,yes,0.0,24737250.0,0.0
