country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
2,Afghanistan,imported,baseline,plant,Grains,2513,Barley and products,mg_abx_total,South Asia,Low income,no,2.1407682025938267e-09,36723250.0,7.861596589590376e-11
2,Afghanistan,imported,baseline,plant,Grains,2514,Maize and products,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
2,Afghanistan,imported,baseline,plant,Grains,2516,Oats,mg_abx_total,South Asia,Low income,no,2.6170569973461225e-09,36723250.0,9.610683837779098e-11
2,Afghanistan,imported,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,South Asia,Low income,no,0.005932757036763627,36723250.0,0.00021787011985032988
2,Afghanistan,imported,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,South Asia,Low income,no,0.0010059452023695723,36723250.0,3.69415771529184e-05
2,Afghanistan,imported,baseline,plant,Nuts and seeds,2556,Groundnuts (Shelled Eq),mg_abx_total,South Asia,Low income,no,3.3071620741928e-06,36723250.0,1.2144973964110113e-07
2,Afghanistan,imported,baseline,plant,Nuts and seeds,2561,Sesame seed,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
2,Afghanistan,imported,baseline,plant,Pulses and soy,2546,Beans,mg_abx_total,South Asia,Low income,no,1.6680690417544712e-08,36723250.0,6.125691643760988e-10
2,Afghanistan,imported,baseline,plant,Pulses and soy,2547,Peas,mg_abx_total,South Asia,Low income,no,7.516154908956207e-08,36723250.0,2.7601763576032605e-09
2,Afghanistan,imported,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,South Asia,Low income,no,7.982847746074e-07,36723250.0,2.9315611349101348e-08
2,Afghanistan,imported,baseline,plant,Pulses and soy,2555,Soyabeans,mg_abx_total,South Asia,Low income,no,0.0,36723250.0,0.0
2,Afghanistan,imported,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,South Asia,Low income,no,6.4487527247044e-06,36723250.0,2.3681915849750363e-07
2,Afghanistan,imported,baseline,plant,Starchy roots,2533,Sweet potatoes,mg_abx_total,South Asia,Low income,no,1.6681995288738363e-08,36723250.0,6.126170834871611e-10
2,Afghanistan,imported,baseline,plant,Sugars,2536,Sugar cane,mg_abx_total,South Asia,Low income,no,3.798451318629357e-09,36723250.0,1.3949147738685554e-10
2,Afghanistan,imported,baseline,plant,Vegetables,2563,Olives (including preserved),mg_abx_total,South Asia,Low income,no,4.0942515285941e-06,36723250.0,1.503542224474441e-07
2,Afghanistan,imported,baseline,plant,Vegetables,2601,Tomatoes and products,mg_abx_total,South Asia,Low income,no,2.5177929916243e-06,36723250.0,9.246154147966964e-08
2,Afghanistan,imported,baseline,plant,Vegetables,2602,Onions,mg_abx_total,South Asia,Low income,no,1.2681415212928e-06,36723250.0,4.657027812181694e-08
2,Afghanistan,imported,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,South Asia,Low income,no,2.9155609443715996e-06,36723250.0,1.0706887345039777e-07
2,Afghanistan,imported,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,South Asia,Low income,no,0.03009307302037293,36723250.0,0.0011051154437954104
2,Afghanistan,imported,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,South Asia,Low income,no,0.0012441965851978003,36723250.0,4.569094224736512e-05
2,Afghanistan,imported,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,South Asia,Low income,no,0.03121819961925155,36723250.0,0.0011464337491676796
3,Albania,domestic,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Europe,Upper middle income,no,0.013925678095832589,2883500.0,4.015469278933327e-05
3,Albania,domestic,baseline,a_animal,Aquatic animals,2762,Demersal Fish,mg_abx_total,Europe,Upper middle income,no,0.21103436900887046,2883500.0,0.000608517603037078
3,Albania,domestic,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,Europe,Upper middle income,no,0.03459952784462821,2883500.0,9.976773853998543e-05
3,Albania,domestic,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,Europe,Upper middle income,no,0.0033225673220931818,2883500.0,9.58062287325569e-06
3,Albania,domestic,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Europe,Upper middle income,no,0.09501316659176172,2883500.0,0.000273970465867345
3,Albania,domestic,baseline,plant,Fruits,2619,Dates,mg_abx_total,Europe,Upper middle income,no,0.013267851704639172,2883500.0,3.8257850390327055e-05
